date,close,open,high,low,vol,var
09.08.2015,"968,6","978,5",995,950,"0,06K","-1,01%"
08.08.2015,"978,5",1015,1018,"978,2","0,11K","-3,60%"
07.08.2015,1015,"1017,9",1018,"985,1","0,15K","-0,28%"
06.08.2015,"1017,9","1018,5","1018,5",1003,"0,10K","-0,06%"
05.08.2015,"1018,5",1016,"1018,5",996,"0,09K","0,25%"
04.08.2015,1016,1010,1016,992,"0,11K","0,59%"
03.08.2015,1010,999,1016,980,"0,13K","1,10%"
02.08.2015,999,997,1000,"973,7","0,02K","0,20%"
01.08.2015,997,"1011,5","1011,5",991,"0,03K","-1,44%"
31.07.2015,"1011,5","999,7",1012,"983,3","0,07K","1,19%"
30.07.2015,"999,7","1012,1","1018,3","971,2","0,12K","-1,23%"
29.07.2015,"1012,1",1021,1021,1000,"0,08K","-0,87%"
28.07.2015,1021,"977,8",1021,975,"0,10K","4,42%"
27.07.2015,"977,8",965,1050,950,"0,12K","1,32%"
26.07.2015,965,959,972,"958,7","0,02K","0,62%"
25.07.2015,959,968,969,"954,1","0,03K","-0,93%"
24.07.2015,968,950,970,"940,5","0,15K","1,89%"
23.07.2015,950,"949,2",954,936,"0,07K","0,08%"
22.07.2015,"949,2",957,957,"918,3","0,16K","-0,82%"
21.07.2015,957,955,957,"940,1","0,06K","0,21%"
20.07.2015,955,"934,1",955,"924,3","0,08K","2,24%"
19.07.2015,"934,1",932,"939,9","924,1","0,03K","0,22%"
18.07.2015,932,950,"952,9","925,3","0,03K","-1,89%"
17.07.2015,950,928,"956,3",910,"0,09K","2,37%"
16.07.2015,928,957,"976,8",916,"0,11K","-3,03%"
15.07.2015,957,969,989,912,"0,14K","-1,24%"
14.07.2015,969,"939,5",989,903,"0,11K","3,14%"
13.07.2015,"939,5",991,1010,925,"0,13K","-5,20%"
12.07.2015,991,970,1000,970,"0,05K","2,16%"
11.07.2015,970,963,985,955,"0,04K","0,73%"
10.07.2015,963,"922,7",990,890,"0,12K","4,36%"
09.07.2015,"922,7",880,945,"876,3","0,10K","4,86%"
08.07.2015,880,885,888,"872,3","0,11K","-0,56%"
07.07.2015,885,"892,9","899,3","865,3","0,11K","-0,89%"
06.07.2015,"892,9",855,"899,3","847,9","0,08K","4,44%"
05.07.2015,855,839,855,830,"0,04K","2,03%"
04.07.2015,838,841,841,822,"0,04K","-0,35%"
03.07.2015,841,"840,4",841,"821,1","0,09K","0,07%"
02.07.2015,"840,4","839,5","848,5",829,"0,11K","0,11%"
01.07.2015,"839,5",846,850,820,"0,14K","-0,77%"
